"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Sex","Age group","Offence group","Police Force Area","Value","Value_type","Denominator (Prosecutions at Magistrates Court)","Numerator (Convictions and Magistrates Court and Crown Court)"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","All","Criminal damage and arson","All","73.3","%","161","118"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","All","Drug offences","All","89.5","%","2734","2446"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","All","Fraud Offences","All","76.2","%","323","246"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","All","Miscellaneous crimes against society","All","66.3","%","1774","1177"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","All","Possession of weapons","All","70.6","%","608","429"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","All","Public order offences","All","84.4","%","556","469"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","All","Robbery","All","56.9","%","1018","579"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","All","Sexual offences","All","46.9","%","160","75"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","All","Theft Offences","All","82.6","%","3941","3255"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","All","Violence against the person","All","55.2","%","1542","851"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","All","Criminal damage and arson","All","88.4","%","43","38"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","All","Drug offences","All","92.9","%","1004","933"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","All","Fraud Offences","All","88.2","%","338","298"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","All","Miscellaneous crimes against society","All","80","%","1119","895"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","All","Possession of weapons","All","72.6","%","197","143"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","All","Public order offences","All","91.8","%","171","157"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","All","Robbery","All","73","%","148","108"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","All","Sexual offences","All","46.5","%","198","92"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","All","Theft Offences","All","86.7","%","1524","1321"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","All","Violence against the person","All","61.5","%","493","303"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","All","Criminal damage and arson","All","80.4","%","7533","6055"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","All","Drug offences","All","91.8","%","46525","42726"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","All","Fraud Offences","All","83.2","%","7761","6456"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","All","Miscellaneous crimes against society","All","66.6","%","45041","30000"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","All","Possession of weapons","All","76","%","12500","9505"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","All","Public order offences","All","95.6","%","16180","15465"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","All","Robbery","All","61.7","%","7395","4561"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","All","Sexual offences","All","56.3","%","7488","4218"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","All","Theft Offences","All","88.3","%","129006","113890"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","All","Violence against the person","All","66.4","%","38569","25595"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","All","Criminal damage and arson","All","68.5","%","181","124"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","All","Drug offences","All","94.4","%","4890","4614"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","All","Fraud Offences","All","88.2","%","1022","901"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","All","Miscellaneous crimes against society","All","69.8","%","3186","2224"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","All","Possession of weapons","All","69.5","%","803","558"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","All","Public order offences","All","91.9","%","863","793"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","All","Robbery","All","57.8","%","1232","712"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","All","Sexual offences","All","53.3","%","897","478"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","All","Theft Offences","All","84.8","%","4586","3891"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","All","Violence against the person","All","58.1","%","2504","1455"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","All","Criminal damage and arson","All","74.9","%","283","212"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","All","Drug offences","All","91.4","%","8559","7821"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","All","Fraud Offences","All","80.9","%","1383","1119"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","All","Miscellaneous crimes against society","All","72.1","%","4557","3286"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","All","Possession of weapons","All","77.4","%","2126","1646"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","All","Public order offences","All","89.3","%","1209","1080"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","All","Robbery","All","62","%","3335","2069"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","All","Sexual offences","All","49.9","%","779","389"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","All","Theft Offences","All","83.4","%","8531","7114"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","All","Violence against the person","All","59.9","%","3064","1835"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","All","Criminal damage and arson","All","67.5","%","166","112"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","All","Drug offences","All","88.3","%","2741","2421"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","All","Fraud Offences","All","77.3","%","251","194"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","All","Miscellaneous crimes against society","All","69.3","%","1615","1120"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","All","Possession of weapons","All","76.6","%","603","462"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","All","Public order offences","All","87.7","%","536","470"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","All","Robbery","All","58.7","%","1062","623"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","All","Sexual offences","All","44.1","%","204","90"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","All","Theft Offences","All","83","%","4075","3382"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","All","Violence against the person","All","65.4","%","1328","868"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","All","Criminal damage and arson","All","78.3","%","46","36"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","All","Drug offences","All","88.9","%","921","819"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","All","Fraud Offences","All","91.3","%","231","211"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","All","Miscellaneous crimes against society","All","83.2","%","859","715"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","All","Possession of weapons","All","74.8","%","210","157"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","All","Public order offences","All","84.1","%","182","153"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","All","Robbery","All","64.4","%","188","121"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","All","Sexual offences","All","56.1","%","148","83"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","All","Theft Offences","All","86.1","%","1615","1391"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","All","Violence against the person","All","57.1","%","496","283"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","All","Criminal damage and arson","All","82","%","6690","5483"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","All","Drug offences","All","91.8","%","45875","42134"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","All","Fraud Offences","All","84.6","%","7427","6286"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","All","Miscellaneous crimes against society","All","66.8","%","42814","28586"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","All","Possession of weapons","All","76.7","%","11481","8808"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","All","Public order offences","All","100.5","%","13977","14047"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","All","Robbery","All","68.2","%","7388","5038"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","All","Sexual offences","All","61.6","%","7227","4451"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","All","Theft Offences","All","88.6","%","128721","114098"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","All","Violence against the person","All","71.3","%","34072","24289"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","Criminal damage and arson","All","58.3","%","156","91"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","Drug offences","All","90.5","%","4451","4028"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","Fraud Offences","All","76.8","%","953","732"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","Miscellaneous crimes against society","All","70.2","%","2793","1960"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","Possession of weapons","All","69.8","%","678","473"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","Public order offences","All","99.3","%","760","755"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","Robbery","All","67.6","%","1100","744"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","Sexual offences","All","56.2","%","849","477"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","Theft Offences","All","84.6","%","4003","3386"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","Violence against the person","All","62.4","%","2002","1249"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","Criminal damage and arson","All","77.5","%","253","196"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","Drug offences","All","90.7","%","7967","7224"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","Fraud Offences","All","80.8","%","1216","982"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","Miscellaneous crimes against society","All","70.4","%","3721","2619"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","Possession of weapons","All","71.8","%","1601","1149"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","Public order offences","All","89.2","%","1081","964"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","Robbery","All","66.6","%","2606","1736"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","Sexual offences","All","51.4","%","813","418"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","Theft Offences","All","84.1","%","7293","6135"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","Violence against the person","All","62.5","%","2602","1627"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","Criminal damage and arson","All","71.1","%","135","96"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","Drug offences","All","90.3","%","2535","2288"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","Fraud Offences","All","80.2","%","237","190"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","Miscellaneous crimes against society","All","65.5","%","1333","873"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","Possession of weapons","All","71.8","%","529","380"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","Public order offences","All","99.3","%","423","420"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","Robbery","All","60.4","%","938","567"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","Sexual offences","All","48.6","%","175","85"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","Theft Offences","All","83.4","%","3486","2906"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","Violence against the person","All","66","%","1048","692"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","Criminal damage and arson","All","89.2","%","37","33"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","Drug offences","All","89.4","%","829","741"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","Fraud Offences","All","90.4","%","208","188"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","Miscellaneous crimes against society","All","74.6","%","704","525"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","Possession of weapons","All","65.3","%","167","109"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","Public order offences","All","102.6","%","155","159"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","Robbery","All","71.1","%","204","145"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","Sexual offences","All","69.1","%","123","85"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","Theft Offences","All","88.5","%","1404","1243"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","Violence against the person","All","66.9","%","362","242"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","Criminal damage and arson","All","79.2","%","5728","4534"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","Drug offences","All","92.6","%","42690","39545"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","Fraud Offences","All","85.4","%","6695","5717"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","Miscellaneous crimes against society","All","68.7","%","35655","24481"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","Possession of weapons","All","76.3","%","9744","7430"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","Public order offences","All","102","%","12117","12363"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","Robbery","All","69.6","%","6342","4414"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","Sexual offences","All","65.4","%","6399","4185"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","Theft Offences","All","88.7","%","115373","102282"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","Violence against the person","All","74.3","%","27558","20475"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","Criminal damage and arson","All","62.6","%","155","97"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","Drug offences","All","87.8","%","4545","3990"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","Fraud Offences","All","69.4","%","991","688"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","Miscellaneous crimes against society","All","69.2","%","2552","1766"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","Possession of weapons","All","64","%","774","495"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","Public order offences","All","87.1","%","856","746"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","Robbery","All","61.1","%","904","552"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","Sexual offences","All","46.3","%","1013","469"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","Theft Offences","All","81.6","%","4019","3278"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","Violence against the person","All","51.6","%","2196","1134"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","All","All","Criminal damage and arson","All","73.3","%","202","148"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","All","All","Drug offences","All","88.5","%","8427","7461"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","All","All","Fraud Offences","All","76.6","%","1214","930"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","All","All","Miscellaneous crimes against society","All","66.7","%","3503","2336"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","All","All","Possession of weapons","All","72.4","%","1646","1192"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","All","All","Public order offences","All","86.7","%","1079","936"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","All","All","Robbery","All","60.5","%","2125","1286"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","All","All","Sexual offences","All","43.1","%","856","369"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","All","All","Theft Offences","All","81.3","%","7018","5705"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","All","All","Violence against the person","All","56.2","%","2658","1495"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","All","All","Criminal damage and arson","All","66.4","%","128","85"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","All","All","Drug offences","All","87","%","2586","2249"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","All","All","Fraud Offences","All","70","%","233","163"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","All","All","Miscellaneous crimes against society","All","63.6","%","1241","789"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","All","All","Possession of weapons","All","72.9","%","499","364"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","All","All","Public order offences","All","85.1","%","451","384"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","All","All","Robbery","All","57.3","%","740","424"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","All","All","Sexual offences","All","44.3","%","192","85"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","All","All","Theft Offences","All","82.6","%","3358","2774"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","All","All","Violence against the person","All","59.4","%","1114","662"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","All","All","Criminal damage and arson","All","78","%","41","32"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","All","All","Drug offences","All","94.5","%","766","724"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","All","All","Fraud Offences","All","82.8","%","221","183"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","All","All","Miscellaneous crimes against society","All","78.1","%","644","503"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","All","All","Possession of weapons","All","70.4","%","162","114"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","All","All","Public order offences","All","94.1","%","153","144"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","All","All","Robbery","All","71.4","%","147","105"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","All","All","Sexual offences","All","60.8","%","199","121"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","All","All","Theft Offences","All","86.3","%","1465","1265"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","All","All","Violence against the person","All","60.3","%","358","216"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2013","Year","All","All","Criminal damage and arson","All","75.9","%","4374","3321"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2013","Year","All","All","Drug offences","All","90.6","%","41693","37782"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2013","Year","All","All","Fraud Offences","All","79.9","%","6321","5053"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2013","Year","All","All","Miscellaneous crimes against society","All","67","%","33247","22265"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2013","Year","All","All","Possession of weapons","All","74.5","%","9599","7156"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2013","Year","All","All","Public order offences","All","96.9","%","12924","12520"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2013","Year","All","All","Robbery","All","62.2","%","6087","3786"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2013","Year","All","All","Sexual offences","All","54.7","%","7448","4077"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2013","Year","All","All","Theft Offences","All","87.2","%","112022","97683"
